ingestion_run_id,file_path,error_message,logged_at_utc
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq etfs/xfix.us.txt,No columns to parse from file,2026-03-07T02:12:58.806489+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/aespu.us.txt,No columns to parse from file,2026-03-07T02:12:59.664266+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/aigo.us.txt,No columns to parse from file,2026-03-07T02:12:59.872141+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/bcacu.us.txt,No columns to parse from file,2026-03-07T02:13:02.460280+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/capnu.us.txt,No columns to parse from file,2026-03-07T02:13:03.883545+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/cast.us.txt,No columns to parse from file,2026-03-07T02:13:03.984881+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/cjet.us.txt,No columns to parse from file,2026-03-07T02:13:05.033304+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/clrs.us.txt,No columns to parse from file,2026-03-07T02:13:05.199072+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/dooo.us.txt,No columns to parse from file,2026-03-07T02:13:07.263977+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/1/efty.us.txt,No columns to parse from file,2026-03-07T02:13:07.877480+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/2/idacu.us.txt,No columns to parse from file,2026-03-07T02:13:13.488926+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/2/mctr.us.txt,No columns to parse from file,2026-03-07T02:13:20.884126+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/2/mogo.us.txt,No columns to parse from file,2026-03-07T02:13:21.720212+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/2/mrp-w.us.txt,No columns to parse from file,2026-03-07T02:13:21.895332+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/2/mtsr.us.txt,No columns to parse from file,2026-03-07T02:13:22.129836+00:00
initial_20260307T021253Z_7c5051c7,input/stock price/daily/us/nasdaq stocks/2/myhb.us.txt,No columns to parse from file,2026-03-07T02:13:22.249682+00:00
